portfolio_turnover,code,swp_flag,lump_min,stp_flag,face_value,sip_available,sip_maximum_gap,returns_date,returns_inception,returns_year_5,returns_year_1,returns_year_3,sip_multiplier,ISIN,investment_objective,volatility,name,fund_house,last_nav_date,last_nav_nav,fund_manager,fund_category,lump_multiplier,redemption_allowed,direct,fund_type,redemption_amount_minimum,category,sip_min,detail_info,redemption_quantity_multiple,nav_date,nav_nav,switch_allowed,lump_min_additional,fund_name,sip_max,expense_ratio,crisil_rating,purchase_amount_multiplier,instant,redemption_quantity_minimum,lump_available,lump_max,redemption_amount_multiple,plan,short_name,short_code,reinvestment,slug,channel_partner_code,tax_period,maturity_type,aum,jan_31_nav,merged_code,merged_name,merged_date
,LTSTIDD-DP,Y,10000.0,Y,10.0,Y,60.0,2020-03-12,8.5791,7.6711,9.5604,8.144,1.0,INF917K01GY2,To generate reasonable returns through a diversified portfolio of fixed income securities,3.90248,L&T Flexi Bond Dividend Payout Direct Plan,L&TMUTUALFUND_MF,2020-03-11,13.22,Shriram Ramanathan,Dynamic Bond Fund,1.0,Y,Y,Debt,500.0,Debt - Bonds,1000.0,https://www.ltfs.com/companies/lnt-investment-management/our_funds.html,0.001,2020-03-12,13.1366,Y,1000.0,L&T Mutual Fund,999999999.0,0.96,Moderate,,N,0.001,Y,10000000000000.0,1.0,DIVIDEND MONTHLY,L&T Flexi Bond Dividend Payout,l_t,N,l-t-flexi-bond-dividend-payout--LTSTIDD-DP,FSTIDD,1095,Open Ended,590,,,,
,LTSTIDD-DR,Y,10000.0,Y,10.0,Y,60.0,2020-03-12,8.5791,7.6711,9.5604,8.144,1.0,INF917K01GY2,To generate reasonable returns through a diversified portfolio of fixed income securities,3.90248,L&T Flexi Bond Dividend Reinvest Direct Plan,L&TMUTUALFUND_MF,2020-03-11,13.22,Shriram Ramanathan,Dynamic Bond Fund,1.0,Y,Y,Debt,500.0,Debt - Bonds,1000.0,https://www.ltfs.com/companies/lnt-investment-management/our_funds.html,0.001,2020-03-12,13.1366,Y,1000.0,L&T Mutual Fund,999999999.0,0.96,Moderate,,N,0.001,Y,10000000000000.0,1.0,DIVIDEND MONTHLY,L&T Flexi Bond Dividend Reinvest,l_t,Y,l-t-flexi-bond-dividend-reinvest--LTSTIDD-DR,FSTIDD,1095,Open Ended,590,,,,
,LTSTIGD-GR,Y,10000.0,Y,10.0,Y,60.0,2020-03-12,9.3258,8.7663,11.5113,8.3155,1.0,INF917K01HA0,To generate reasonable returns through a diversified portfolio of fixed income securities,3.49029,L&T Flexi Bond Growth Direct Plan,L&TMUTUALFUND_MF,2020-03-11,23.0707,Shriram Ramanathan,Dynamic Bond Fund,1.0,Y,Y,Debt,500.0,Debt - Bonds,1000.0,https://www.ltfs.com/companies/lnt-investment-management/our_funds.html,0.001,2020-03-12,22.9251,Y,1000.0,L&T Mutual Fund,999999999.0,0.96,Moderate,,N,0.001,Y,10000000000000.0,1.0,GROWTH,L&T Flexi Bond,l_t,Z,l-t-flexi-bond-growth--LTSTIGD-GR,FSTIGD,1095,Open Ended,590,18.9248,,,
0.3042,LTFIVDD-DP,Y,5000.0,Y,10.0,Y,60.0,2020-03-12,13.5795,4.4245,-15.5942,-0.8047,1.0,INF917K01HB8,To generate long term capital growth from a diversified portfolio of predominantly equity and equity related securities; in the Indian markets with higher focus on undervalued securities. The Scheme could also additionally invest in Foreign Securities in international markets.,16.8586,L&T India Value Dividend Payout Direct Plan,L&TMUTUALFUND_MF,2020-03-11,25.72,Venugopal M; Vihang Naik,Value Fund,1.0,Y,Y,Equity,500.0,Equity,500.0,https://www.ltfs.com/companies/lnt-investment-management/our_funds.html,0.001,2020-03-12,23.556,Y,1000.0,L&T Mutual Fund,999999999.0,0.82,Moderately High,,N,0.001,Y,10000000000000.0,1.0,AS N WHEN,L&T India Value Dividend Payout,l_t,N,l-t-india-value-dividend-payout--LTFIVDD-DP,FFIVDD,365,Open Ended,70400,32.384,,,
0.3042,LTFIVDD-DR,Y,5000.0,Y,10.0,Y,60.0,2020-03-12,13.5795,4.4245,-15.5942,-0.8047,1.0,INF917K01HB8,To generate long term capital growth from a diversified portfolio of predominantly equity and equity related securities; in the Indian markets with higher focus on undervalued securities. The Scheme could also additionally invest in Foreign Securities in international markets.,16.8586,L&T India Value Dividend Reinvest Direct Plan,L&TMUTUALFUND_MF,2020-03-11,25.72,Venugopal M; Vihang Naik,Value Fund,1.0,Y,Y,Equity,500.0,Equity,500.0,https://www.ltfs.com/companies/lnt-investment-management/our_funds.html,0.001,2020-03-12,23.556,Y,1000.0,L&T Mutual Fund,999999999.0,0.82,Moderately High,,N,0.001,Y,10000000000000.0,1.0,AS N WHEN,L&T India Value Dividend Reinvest,l_t,Y,l-t-india-value-dividend-reinvest--LTFIVDD-DR,FFIVDD,365,Open Ended,70400,32.384,,,
0.3042,LTFIVGD-GR,Y,5000.0,Y,10.0,Y,60.0,2020-03-12,13.831,4.6083,-15.5953,-0.5658,1.0,INF917K01HD4,To generate long term capital growth from a diversified portfolio of predominantly equity and equity related securities; in the Indian markets with higher focus on undervalued securities. The Scheme could also additionally invest in Foreign Securities in international markets.,16.2606,L&T India Value Growth Direct Plan,L&TMUTUALFUND_MF,2020-03-11,34.061,Venugopal M; Vihang Naik,Value Fund,1.0,Y,Y,Equity,500.0,Equity,500.0,https://www.ltfs.com/companies/lnt-investment-management/our_funds.html,0.001,2020-03-12,31.195,Y,1000.0,L&T Mutual Fund,999999999.0,0.82,Moderately High,,N,0.001,Y,10000000000000.0,1.0,GROWTH,L&T India Value,l_t,Z,l-t-india-value-growth--LTFIVGD-GR,FFIVGD,365,Open Ended,70400,40.848,,,
,LT153LD-DP,Y,10000.0,Y,1000.0,Y,60.0,2020-03-12,5.6743,5.1777,4.4516,4.8866,1.0,INF917K01HE2,The Scheme seeks to generate reasonable returns while maintaining safety and providing the investor superior liquidity by investing in a well diversified and highly liquid portfolio of money market instruments; govt. securities and corporate debt.,0.893459,L&T Liquid Weekly Dividend Payout Direct Plan,L&TMUTUALFUND_MF,2020-03-11,1000.76,Shriram Ramanathan; Jalpan Shah,Liquid Fund,1.0,Y,Y,Debt,1000.0,Debt - Bonds,1000.0,https://www.ltfs.com/companies/lnt-investment-management/our_funds.html,0.001,2020-03-12,1000.84,Y,1000.0,L&T Mutual Fund,999999999.0,0.1,Low,,N,0.001,Y,10000000000000.0,1.0,DIVIDEND WEEKLY,L&T Liquid Weekly Dividend Payout,l_t,N,l-t-liquid-weekly-dividend-payout--LT153LD-DP,F153LD,1095,Open Ended,99360,1000.8,,,
,LT154LD-GR,Y,10000.0,Y,1000.0,Y,60.0,2020-03-12,7.829,7.2547,6.2244,6.8502,1.0,INF917K01HF9,The Scheme seeks to generate reasonable returns while maintaining safety and providing the investor superior liquidity by investing in a well diversified and highly liquid portfolio of money market instruments; govt. securities and corporate debt.,0.180877,L&T Liquid Growth Direct Plan,L&TMUTUALFUND_MF,2020-03-11,2710.87,Shriram Ramanathan; Jalpan Shah,Liquid Fund,1.0,Y,Y,Debt,1000.0,Debt - Bonds,1000.0,https://www.ltfs.com/companies/lnt-investment-management/our_funds.html,0.001,2020-03-12,2711.07,Y,1000.0,L&T Mutual Fund,999999999.0,0.1,Low,,N,0.001,Y,10000000000000.0,1.0,GROWTH,L&T Liquid,l_t,Z,l-t-liquid-growth--LT154LD-GR,F154LD,1095,Open Ended,99360,2355.04,,,
,LT54LD-DR,Y,10000.0,Y,1000.0,Y,60.0,2020-03-12,5.5034,5.1078,4.3818,4.7781,1.0,INF917K01HG7,The Scheme seeks to generate reasonable returns while maintaining safety and providing the investor superior liquidity by investing in a well diversified and highly liquid portfolio of money market instruments; govt. securities and corporate debt.,0.0725393,L&T Liquid Daily Dividend Reinvest Direct Plan,L&TMUTUALFUND_MF,2020-03-11,1012.95,Shriram Ramanathan; Jalpan Shah,Liquid Fund,1.0,Y,Y,Debt,1000.0,Debt - Bonds,1000.0,https://www.ltfs.com/companies/lnt-investment-management/our_funds.html,0.001,2020-03-12,1012.95,Y,1000.0,L&T Mutual Fund,999999999.0,0.1,Low,,N,0.001,Y,10000000000000.0,1.0,DIVIDEND DAILY,L&T Liquid Daily Dividend Reinvest,l_t,Y,l-t-liquid-daily-dividend-reinvest--LT54LD-DR,F54LD,1095,Open Ended,99360,1012.89,,,
,JMFFL6-DP,Y,5000.0,Y,10.0,N,30.0,2020-03-12,0.0,8.2138,6.1986,7.347,1.0,INF192K01IL5,The investment objective will be to actively manage a portfolio of good quality debt as well as Money Market Instruments so as to provide reasonable returns and liquidity to the Unit holders. Investors are required to read all the scheme related information set out in the offer documents carefully and also note that there can be no assurance that the investment objectives of the scheme will be realized. The scheme does not guarantee/ indicate any returns.,0.460676,JM Dynamic Debt Monthly Dividend Payout Direct Plan,JM FINANCIAL MUTUAL FUND_MF,2020-03-11,32.015,Shalini Tibrewala; Vikas Agrawal,Dynamic Bond Fund,1.0,Y,Y,Debt,500.0,Debt - Bonds,500.0,http://www.jmfinancialmf.com/Downloads/Addenda.aspx?SubReportID=538A8B27-62B1-4CFE-BFF2-65DDFF0D4627,0.001,2020-03-12,31.8917,Y,1000.0,JM FINANCIAL Mutual Fund,999999999.0,0.0,Moderately Low,,N,0.001,Y,10000000000000.0,1.0,DIVIDEND MONTHLY,JM Dynamic Debt Monthly Dividend Payout,jm,N,jm-dynamic-debt-monthly-dividend-payout--JMFFL6-DP,105FFL6,1095,Open Ended,1830,27.5965,,,
1.5179,JMEFDM-DR,Y,5000.0,Y,10.0,N,30.0,2020-03-12,0.0,0.0,-3.576,4.0617,1.0,INF192K01JK5,Optimum Captial Growth and appreciation.,9.68663,JM Large Cap Monthly Dividend Reinvest Direct Plan,JM FINANCIAL MUTUAL FUND_MF,2020-03-11,28.4341,Asit Bhandarkar; Chaitanya Choksi,Large Cap Fund,1.0,Y,Y,Equity,500.0,Equity,500.0,http://www.jmfinancialmf.com/Downloads/Addenda.aspx?SubReportID=538A8B27-62B1-4CFE-BFF2-65DDFF0D4627,0.001,2020-03-12,27.6044,Y,1000.0,JM FINANCIAL Mutual Fund,999999999.0,0.0,Moderately High,,N,0.001,Y,10000000000000.0,1.0,DIVIDEND MONTHLY,JM Large Cap Monthly Dividend Reinvest,jm,Y,jm-large-cap-monthly-dividend-reinvest--JMEFDM-DR,105EFDM,365,Open Ended,31540,29.1346,,,
1.5179,JMEFDQ-DR,Y,5000.0,Y,10.0,N,30.0,2020-03-12,0.0,0.0,-3.5758,4.1118,1.0,INF192K01JO7,Optimum Captial Growth and appreciation.,9.67472,JM Large Cap Quarterly Dividend Reinvest Direct Plan,JM FINANCIAL MUTUAL FUND_MF,2020-03-11,28.699,Asit Bhandarkar; Chaitanya Choksi,Large Cap Fund,1.0,Y,Y,Equity,500.0,Equity,500.0,http://www.jmfinancialmf.com/Downloads/Addenda.aspx?SubReportID=538A8B27-62B1-4CFE-BFF2-65DDFF0D4627,0.001,2020-03-12,27.8616,Y,1000.0,JM FINANCIAL Mutual Fund,999999999.0,0.0,Moderately High,,N,0.001,Y,10000000000000.0,1.0,DIVIDEND QUARTERLY,JM Large Cap Quarterly Dividend Reinvest,jm,Y,jm-large-cap-quarterly-dividend-reinvest--JMEFDQ-DR,105EFDQ,365,Open Ended,31540,29.1361,,,
1.5179,JMEFDH-DR,Y,5000.0,Y,10.0,N,30.0,2020-03-12,0.0,0.0,-3.5765,4.1075,1.0,INF192K01JZ3,Optimum Captial Growth and appreciation.,9.67341,JM Large Cap Half Yearly Dividend Reinvest Direct Plan,JM FINANCIAL MUTUAL FUND_MF,2020-03-11,28.4936,Asit Bhandarkar; Chaitanya Choksi,Large Cap Fund,1.0,Y,Y,Equity,500.0,Equity,500.0,http://www.jmfinancialmf.com/Downloads/Addenda.aspx?SubReportID=538A8B27-62B1-4CFE-BFF2-65DDFF0D4627,0.001,2020-03-12,27.6622,Y,1000.0,JM FINANCIAL Mutual Fund,999999999.0,0.0,Moderately High,,N,0.001,Y,10000000000000.0,1.0,DIVIDEND SEMI-ANNUALLY,JM Large Cap Half Yearly Dividend Reinvest,jm,Y,jm-large-cap-half-yearly-dividend-reinvest--JMEFDH-DR,105EFDH,365,Open Ended,31540,28.9286,,,
1.5179,JMEFDA-DR,Y,5000.0,Y,10.0,N,30.0,2020-03-12,0.0,0.0,-3.5655,4.1051,1.0,INF192K01JV2,Optimum Captial Growth and appreciation.,9.67466,JM Large Cap Annual Dividend Reinvest Direct Plan,JM FINANCIAL MUTUAL FUND_MF,2020-03-11,28.6934,Asit Bhandarkar; Chaitanya Choksi,Large Cap Fund,1.0,Y,Y,Equity,500.0,Equity,500.0,http://www.jmfinancialmf.com/Downloads/Addenda.aspx?SubReportID=538A8B27-62B1-4CFE-BFF2-65DDFF0D4627,0.001,2020-03-12,27.8562,Y,1000.0,JM FINANCIAL Mutual Fund,999999999.0,0.0,Moderately High,,N,0.001,Y,10000000000000.0,1.0,DIVIDEND ANNUAL,JM Large Cap Annual Dividend Reinvest,jm,Y,jm-large-cap-annual-dividend-reinvest--JMEFDA-DR,105EFDA,365,Open Ended,31540,29.1343,,,
,JMGSDM-DR,N,5000.0,N,10.0,N,30.0,2019-09-13,8.9816,0.0,13.0351,6.9237,1.0,INF192K01KB2,To invest only in Government Securities.,4.4256,JM Gsec Monthly Dividend Reinvest Direct Plan,JM FINANCIAL MUTUAL FUND_MF,2019-09-06,29.62,Vikas Agrawal,Gilt Fund,1.0,N,Y,Debt,500.0,Debt - Bonds,500.0,http://www.jmfinancialmf.com/Downloads/Addenda.aspx?SubReportID=538A8B27-62B1-4CFE-BFF2-65DDFF0D4627,0.001,2019-09-07,29.6239,N,1000.0,JM FINANCIAL Mutual Fund,999999999.0,0.0,Moderate,,N,0.001,N,10000000000000.0,1.0,DIVIDEND MONTHLY,JM Gsec Monthly Dividend Reinvest,jm,Y,jm-gsec-monthly-dividend-reinvest--JMGSDM-DR,105GSDM,1095,Open Ended,140,25.707,,,
,JMGSDH-DR,N,5000.0,N,10.0,N,30.0,2019-09-13,9.1075,0.0,13.0252,7.0907,1.0,INF192K01KF3,To invest only in Government Securities.,4.4271,JM Gsec Half Yearly Dividend Reinvest Direct Plan,JM FINANCIAL MUTUAL FUND_MF,2019-09-06,29.7683,Vikas Agrawal,Gilt Fund,1.0,N,Y,Debt,500.0,Debt - Bonds,500.0,http://www.jmfinancialmf.com/Downloads/Addenda.aspx?SubReportID=538A8B27-62B1-4CFE-BFF2-65DDFF0D4627,0.001,2019-09-07,29.7723,N,1000.0,JM FINANCIAL Mutual Fund,999999999.0,0.0,Moderate,,N,0.001,N,10000000000000.0,1.0,DIVIDEND SEMI-ANNUALLY,JM Gsec Half Yearly Dividend Reinvest,jm,Y,jm-gsec-half-yearly-dividend-reinvest--JMGSDH-DR,105GSDH,1095,Open Ended,140,25.8408,,,
,JMGSDA-DR,N,5000.0,N,10.0,N,30.0,2019-09-13,9.1068,0.0,13.0243,7.0896,1.0,INF192K01KJ5,To invest only in Government Securities.,4.42719,JM Gsec Annual Dividend Reinvest Direct Plan,JM FINANCIAL MUTUAL FUND_MF,2019-09-06,29.7674,Vikas Agrawal,Gilt Fund,1.0,N,Y,Debt,500.0,Debt - Bonds,500.0,http://www.jmfinancialmf.com/Downloads/Addenda.aspx?SubReportID=538A8B27-62B1-4CFE-BFF2-65DDFF0D4627,0.001,2019-09-07,29.7714,N,1000.0,JM FINANCIAL Mutual Fund,999999999.0,0.0,Moderate,,N,0.001,N,10000000000000.0,1.0,DIVIDEND ANNUAL,JM Gsec Annual Dividend Reinvest,jm,Y,jm-gsec-annual-dividend-reinvest--JMGSDA-DR,105GSDA,1095,Open Ended,140,25.8404,,,
5.0137,JMAADM-DP,Y,5000.0,Y,10.0,N,30.0,2020-03-12,5.9852,0.0,5.8084,5.4961,1.0,INF192K01KM9,To generate income through arbitrage opportunities emerging out of mis-pricing between the cash market and the derivatives market and through deployment of surplus cash in fixed income instruments.,1.04189,JM Arbitrage Monthly Dividend Payout Direct Plan,JM FINANCIAL MUTUAL FUND_MF,2020-03-11,10.6387,Asit Bhandarkar; Sanjay Chhabaria; Chaitanya Choksi,Arbitrage Fund,1.0,Y,Y,Hybrid,500.0,Equity,500.0,http://www.jmfinancialmf.com/Downloads/Addenda.aspx?SubReportID=538A8B27-62B1-4CFE-BFF2-65DDFF0D4627,0.001,2020-03-12,10.652,Y,1000.0,JM FINANCIAL Mutual Fund,999999999.0,0.0,Moderately Low,,N,0.001,Y,10000000000000.0,1.0,DIVIDEND MONTHLY,JM Arbitrage Monthly Dividend Payout,jm,N,jm-arbitrage-monthly-dividend-payout--JMAADM-DP,105AADM,365,Open Ended,610,12.6092,,,
5.0137,JMAADQ-DP,Y,5000.0,Y,10.0,N,30.0,2020-03-12,6.1508,0.0,5.82,5.6654,1.0,INF192K01KQ0,To generate income through arbitrage opportunities emerging out of mis-pricing between the cash market and the derivatives market and through deployment of surplus cash in fixed income instruments.,1.06152,JM Arbitrage Quarterly Dividend Payout Direct Plan,JM FINANCIAL MUTUAL FUND_MF,2020-03-11,12.522,Asit Bhandarkar; Sanjay Chhabaria; Chaitanya Choksi,Arbitrage Fund,1.0,Y,Y,Hybrid,500.0,Equity,500.0,http://www.jmfinancialmf.com/Downloads/Addenda.aspx?SubReportID=538A8B27-62B1-4CFE-BFF2-65DDFF0D4627,0.001,2020-03-12,12.5378,Y,1000.0,JM FINANCIAL Mutual Fund,999999999.0,0.0,Moderately Low,,N,0.001,Y,10000000000000.0,1.0,DIVIDEND QUARTERLY,JM Arbitrage Quarterly Dividend Payout,jm,N,jm-arbitrage-quarterly-dividend-payout--JMAADQ-DP,105AADQ,365,Open Ended,610,11.1909,,,
,PCFFZD-DR,Y,5000.0,Y,1000.0,Y,60.0,2020-03-12,3.3735,1.8027,-11.1073,-1.1856,1.0,INF173K01FR8,To generate regular income & Capital appreciation through investments in debt securities and money market instruments.,0.49601,Principal Low Duration Daily Dividend Reinvest Direct Plan,PRINCIPALMUTUALFUND_MF,2020-03-11,896.026,Bekxy Kuriakose,Low Duration Fund,1.0,Y,Y,Debt,500.0,Debt - Bonds,2000.0,https://www.principalindia.com/downloads/Funds.aspx,0.001,2020-03-12,895.228,Y,1000.0,Principal Mutual Fund,999999999.0,0.29,Moderately Low,,N,0.001,Y,10000000000000.0,0.01,DIVIDEND DAILY,Principal Low Duration Daily Dividend Reinvest,principal,Y,principal-low-duration-daily-dividend-reinvest--PCFFZD-DR,103FFZD,1095,Open Ended,1280,1007.41,,,
,PCFFZG-GR,Y,5000.0,Y,1000.0,Y,60.0,2020-03-12,5.6801,4.0911,-10.4121,0.9157,1.0,INF173K01FS6,To generate regular income & Capital appreciation through investments in debt securities and money market instruments.,0.910186,Principal Low Duration Growth Direct Plan,PRINCIPALMUTUALFUND_MF,2020-03-11,2718.35,Bekxy Kuriakose,Low Duration Fund,1.0,Y,Y,Debt,500.0,Debt - Bonds,2000.0,https://www.principalindia.com/downloads/Funds.aspx,0.001,2020-03-12,2715.93,Y,1000.0,Principal Mutual Fund,999999999.0,0.29,Moderately Low,,N,0.001,Y,10000000000000.0,0.01,GROWTH,Principal Low Duration,principal,Z,principal-low-duration-growth--PCFFZG-GR,103FFZG,1095,Open Ended,1280,2818.15,,,
,PCFFZM-DP,Y,5000.0,Y,1000.0,Y,60.0,2020-03-12,3.427,1.7164,-11.4722,-1.1576,1.0,INF173K01FT4,To generate regular income & Capital appreciation through investments in debt securities and money market instruments.,2.39063,Principal Low Duration Monthly Dividend Payout Direct Plan,PRINCIPALMUTUALFUND_MF,2020-03-11,1016.54,Bekxy Kuriakose,Low Duration Fund,1.0,Y,Y,Debt,500.0,Debt - Bonds,2000.0,https://www.principalindia.com/downloads/Funds.aspx,0.001,2020-03-12,1015.64,Y,1000.0,Principal Mutual Fund,999999999.0,0.29,Moderately Low,,N,0.001,Y,10000000000000.0,0.01,DIVIDEND MONTHLY,Principal Low Duration Monthly Dividend Payout,principal,N,principal-low-duration-monthly-dividend-payout--PCFFZM-DP,103FFZM,1095,Open Ended,1280,1143.61,,,
,PCFFZM-DR,Y,5000.0,Y,1000.0,Y,60.0,2020-03-12,3.427,1.7164,-11.4722,-1.1576,1.0,INF173K01FU2,To generate regular income & Capital appreciation through investments in debt securities and money market instruments.,2.39063,Principal Low Duration Monthly Dividend Reinvest Direct Plan,PRINCIPALMUTUALFUND_MF,2020-03-11,1016.54,Bekxy Kuriakose,Low Duration Fund,1.0,Y,Y,Debt,500.0,Debt - Bonds,2000.0,https://www.principalindia.com/downloads/Funds.aspx,0.001,2020-03-12,1015.64,Y,1000.0,Principal Mutual Fund,999999999.0,0.29,Moderately Low,,N,0.001,Y,10000000000000.0,0.01,DIVIDEND MONTHLY,Principal Low Duration Monthly Dividend Reinvest,principal,Y,principal-low-duration-monthly-dividend-reinvest--PCFFZM-DR,103FFZM,1095,Open Ended,1280,1143.61,,,
,PCFFZW-DR,Y,5000.0,Y,1000.0,Y,60.0,2020-03-12,3.3266,1.7838,-11.2582,-1.2228,1.0,INF173K01FW8,To generate regular income & Capital appreciation through investments in debt securities and money market instruments.,1.40498,Principal Low Duration Weekly Dividend Reinvest Direct Plan,PRINCIPALMUTUALFUND_MF,2020-03-11,894.682,Bekxy Kuriakose,Low Duration Fund,1.0,Y,Y,Debt,500.0,Debt - Bonds,2000.0,https://www.principalindia.com/downloads/Funds.aspx,0.001,2020-03-12,893.885,Y,1000.0,Principal Mutual Fund,999999999.0,0.29,Moderately Low,,N,0.001,Y,10000000000000.0,0.01,DIVIDEND WEEKLY,Principal Low Duration Weekly Dividend Reinvest,principal,Y,principal-low-duration-weekly-dividend-reinvest--PCFFZW-DR,103FFZW,1095,Open Ended,1280,1006.96,,,
,PCFRZG-GR,Y,5000.0,Y,1000.0,Y,60.0,2020-03-12,7.3191,6.6433,0.434,5.1397,1.0,INF173K01FX6,The Fund seeks to generate income and capital gains by predominantly investing in a portfolio of AA and below rated corporate debt securities across the credit spectrum within the investment grade.,1.06538,Principal Credit Risk Growth Direct Plan,PRINCIPALMUTUALFUND_MF,2020-03-11,2983.63,Gurvinder Singh Wasan,Credit Risk Fund,1.0,Y,Y,Debt,500.0,Debt - Bonds,2000.0,https://www.principalindia.com/downloads/Funds.aspx,0.001,2020-03-12,2982.02,Y,1000.0,Principal Mutual Fund,999999999.0,1.17,Moderate,,N,0.001,Y,10000000000000.0,0.01,GROWTH,Principal Credit Risk,principal,Z,principal-credit-risk-growth--PCFRZG-GR,103FRZG,1095,Open Ended,320,2730.46,,,
,PCFRZM-DP,Y,5000.0,Y,1000.0,Y,60.0,2020-03-12,4.7177,3.8291,-1.4093,2.2638,1.0,INF173K01FY4,The Fund seeks to generate income and capital gains by predominantly investing in a portfolio of AA and below rated corporate debt securities across the credit spectrum within the investment grade.,2.48363,Principal Credit Risk Monthly Dividend Payout Direct Plan,PRINCIPALMUTUALFUND_MF,2020-03-11,1229.59,Gurvinder Singh Wasan,Credit Risk Fund,1.0,Y,Y,Debt,500.0,Debt - Bonds,2000.0,https://www.principalindia.com/downloads/Funds.aspx,0.001,2020-03-12,1228.93,Y,1000.0,Principal Mutual Fund,999999999.0,1.17,Moderate,,N,0.001,Y,10000000000000.0,0.01,DIVIDEND MONTHLY,Principal Credit Risk Monthly Dividend Payout,principal,N,principal-credit-risk-monthly-dividend-payout--PCFRZM-DP,103FRZM,1095,Open Ended,320,1241.3,,,
,PCFRZM-DR,Y,5000.0,Y,1000.0,Y,60.0,2020-03-12,4.7177,3.8291,-1.4093,2.2638,1.0,INF173K01FZ1,The Fund seeks to generate income and capital gains by predominantly investing in a portfolio of AA and below rated corporate debt securities across the credit spectrum within the investment grade.,2.48363,Principal Credit Risk Monthly Dividend Reinvest Direct Plan,PRINCIPALMUTUALFUND_MF,2020-03-11,1229.59,Gurvinder Singh Wasan,Credit Risk Fund,1.0,Y,Y,Debt,500.0,Debt - Bonds,2000.0,https://www.principalindia.com/downloads/Funds.aspx,0.001,2020-03-12,1228.93,Y,1000.0,Principal Mutual Fund,999999999.0,1.17,Moderate,,N,0.001,Y,10000000000000.0,0.01,DIVIDEND MONTHLY,Principal Credit Risk Monthly Dividend Reinvest,principal,Y,principal-credit-risk-monthly-dividend-reinvest--PCFRZM-DR,103FRZM,1095,Open Ended,320,1241.3,,,
,PCIDZP-DP,Y,5000.0,Y,10.0,Y,60.0,2020-03-12,5.0994,3.7134,-2.4557,2.3641,1.0,INF173K01GI5,To generate regular income and capital appreciation /accretion through investment in debt instruments and related securities besides preservation of capital.,8.72462,Principal Dynamic Bond Annually Dividend Payout Direct Plan,PRINCIPALMUTUALFUND_MF,2020-03-11,12.0179,Bekxy Kuriakose,Dynamic Bond Fund,1.0,Y,Y,Debt,500.0,Debt - Bonds,2000.0,https://www.principalindia.com/downloads/Funds.aspx,0.001,2020-03-12,11.9746,Y,1000.0,Principal Mutual Fund,999999999.0,1.3,Moderate,,N,0.001,Y,10000000000000.0,0.01,DIVIDEND ANNUAL,Principal Dynamic Bond Annually Dividend Payout,principal,N,principal-dynamic-bond-annually-dividend-payout--PCIDZP-DP,103IFZA,1095,Open Ended,290,11.5451,,,
,PCIDZP-DR,Y,5000.0,Y,10.0,Y,60.0,2020-03-12,5.0994,3.7134,-2.4557,2.3641,1.0,INF173K01GJ3,To generate regular income and capital appreciation /accretion through investment in debt instruments and related securities besides preservation of capital.,8.72462,Principal Dynamic Bond Annually Dividend Reinvest Direct Plan,PRINCIPALMUTUALFUND_MF,2020-03-11,12.0179,Bekxy Kuriakose,Dynamic Bond Fund,1.0,Y,Y,Debt,500.0,Debt - Bonds,2000.0,https://www.principalindia.com/downloads/Funds.aspx,0.001,2020-03-12,11.9746,Y,1000.0,Principal Mutual Fund,999999999.0,1.3,Moderate,,N,0.001,Y,10000000000000.0,0.01,DIVIDEND ANNUAL,Principal Dynamic Bond Annually Dividend Reinvest,principal,Y,principal-dynamic-bond-annually-dividend-reinvest--PCIDZP-DR,103IFZA,1095,Open Ended,290,11.5451,,,
,LT122D-GR,Y,10000.0,Y,10.0,Y,60.0,2020-03-12,8.4308,7.9573,7.4241,7.5179,1.0,INF917K01HS2,To generate reasonable and stable income and provide liquidity to the unit holder. To achieve this objective the scheme will invest predominantly in a well diversified and highly liquid portfolio of money market instruments; government securities and corporate debt. The scheme will not invest in equities orequity related instruments.,0.518124,L&T Ultra Short Term Growth Direct Plan,L&TMUTUALFUND_MF,2020-03-11,33.2905,Jalpan Shah; Vikas Garg,Ultra Short Duration Fund,1.0,Y,Y,Debt,500.0,Debt - Bonds,1000.0,https://www.ltfs.com/companies/lnt-investment-management/our_funds.html,0.001,2020-03-12,33.266,Y,1000.0,L&T Mutual Fund,999999999.0,0.23,Moderately Low,,N,0.001,Y,10000000000000.0,1.0,GROWTH,L&T UST,l_t,Z,l-t-ultra-short-term-growth--LT122D-GR,F122D,1095,Open Ended,27860,28.4228,,,
